method classifier sim cls_err Batch_Separability
MDS QDA 10 0.110169491525424 0.889830508474576
ZIFA QDA 10 0.0932203389830508 0.906779661016949
VAMF QDA 10 0.38135593220339 0.61864406779661
ZINB-WAVE QDA 10 0.152542372881356 0.847457627118644
fSCLVM QDA 10 0.406779661016949 0.593220338983051
tSNE_plx_20 LDA 11 0.305084745762712 0.694915254237288
tSNE_plx_5 LDA 11 0.432203389830508 0.567796610169492
PCA LDA 11 0.161016949152542 0.838983050847458
MDS LDA 11 0.101694915254237 0.898305084745763
ZIFA LDA 11 0.076271186440678 0.923728813559322
VAMF LDA 11 0.372881355932203 0.627118644067797
ZINB-WAVE LDA 11 0.26271186440678 0.73728813559322
fSCLVM LDA 11 0.449152542372881 0.550847457627119
tSNE_plx_20 QDA 11 0.313559322033898 0.686440677966102
tSNE_plx_5 QDA 11 0.406779661016949 0.593220338983051
PCA QDA 11 0.161016949152542 0.838983050847458
MDS QDA 11 0.110169491525424 0.889830508474576
ZIFA QDA 11 0.076271186440678 0.923728813559322
VAMF QDA 11 0.322033898305085 0.677966101694915
ZINB-WAVE QDA 11 0.279661016949152 0.720338983050848
fSCLVM QDA 11 0.423728813559322 0.576271186440678
tSNE_plx_20 LDA 12 0.245762711864407 0.754237288135593
tSNE_plx_5 LDA 12 0.38135593220339 0.61864406779661
PCA LDA 12 0.127118644067797 0.872881355932203
MDS LDA 12 0.0677966101694916 0.932203389830508
ZIFA LDA 12 0.0677966101694916 0.932203389830508
VAMF LDA 12 0.35593220338983 0.64406779661017
ZINB-WAVE LDA 12 0.135593220338983 0.864406779661017
fSCLVM LDA 12 0.0677966101694916 0.932203389830508
tSNE_plx_20 QDA 12 0.245762711864407 0.754237288135593
tSNE_plx_5 QDA 12 0.389830508474576 0.610169491525424
PCA QDA 12 0.110169491525424 0.889830508474576
MDS QDA 12 0.0677966101694916 0.932203389830508
ZIFA QDA 12 0.0677966101694916 0.932203389830508
VAMF QDA 12 0.364406779661017 0.635593220338983
ZINB-WAVE QDA 12 0.135593220338983 0.864406779661017
fSCLVM QDA 12 0.0593220338983051 0.940677966101695
tSNE_plx_20 LDA 13 0.338983050847458 0.661016949152542
tSNE_plx_5 LDA 13 0.389830508474576 0.610169491525424
PCA LDA 13 0.076271186440678 0.923728813559322
MDS LDA 13 0.0677966101694916 0.932203389830508
ZIFA LDA 13 0.0593220338983051 0.940677966101695
VAMF LDA 13 0.38135593220339 0.61864406779661
ZINB-WAVE LDA 13 0.101694915254237 0.898305084745763
fSCLVM LDA 13 0.0423728813559323 0.957627118644068
tSNE_plx_20 QDA 13 0.313559322033898 0.686440677966102
tSNE_plx_5 QDA 13 0.35593220338983 0.64406779661017
PCA QDA 13 0.0677966101694916 0.932203389830508
MDS QDA 13 0.0677966101694916 0.932203389830508
ZIFA QDA 13 0.0508474576271186 0.949152542372881
VAMF QDA 13 0.347457627118644 0.652542372881356
ZINB-WAVE QDA 13 0.110169491525424 0.889830508474576
fSCLVM QDA 13 0.0593220338983051 0.940677966101695
tSNE_plx_20 LDA 14 0.271186440677966 0.728813559322034
tSNE_plx_5 LDA 14 0.338983050847458 0.661016949152542
PCA LDA 14 0.0677966101694916 0.932203389830508
MDS LDA 14 0.127118644067797 0.872881355932203
ZIFA LDA 14 0.0677966101694915 0.932203389830509
VAMF LDA 14 0.372881355932203 0.627118644067797
ZINB-WAVE LDA 14 0.11864406779661 0.88135593220339
fSCLVM LDA 14 0.0677966101694916 0.932203389830508
tSNE_plx_20 QDA 14 0.279661016949153 0.720338983050847
tSNE_plx_5 QDA 14 0.389830508474576 0.610169491525424
PCA QDA 14 0.0677966101694916 0.932203389830508
MDS QDA 14 0.127118644067797 0.872881355932203
ZIFA QDA 14 0.0677966101694915 0.932203389830509
VAMF QDA 14 0.372881355932203 0.627118644067797
ZINB-WAVE QDA 14 0.11864406779661 0.88135593220339
fSCLVM QDA 14 0.0847457627118644 0.915254237288136
tSNE_plx_20 LDA 15 0.254237288135593 0.745762711864407
tSNE_plx_5 LDA 15 0.38135593220339 0.61864406779661
PCA LDA 15 0.211864406779661 0.788135593220339
MDS LDA 15 0.0932203389830508 0.906779661016949
ZIFA LDA 15 0.0677966101694916 0.932203389830508
VAMF LDA 15 0.0932203389830508 0.906779661016949
ZINB-WAVE LDA 15 0.11864406779661 0.88135593220339
fSCLVM LDA 15 0.110169491525424 0.889830508474576
tSNE_plx_20 QDA 15 0.186440677966102 0.813559322033898
tSNE_plx_5 QDA 15 0.338983050847458 0.661016949152542
PCA QDA 15 0.23728813559322 0.76271186440678
MDS QDA 15 0.0932203389830508 0.906779661016949
ZIFA QDA 15 0.0677966101694916 0.932203389830508
VAMF QDA 15 0.076271186440678 0.923728813559322
ZINB-WAVE QDA 15 0.101694915254237 0.898305084745763
fSCLVM QDA 15 0.110169491525424 0.889830508474576
tSNE_plx_20 LDA 16 0.23728813559322 0.76271186440678
tSNE_plx_5 LDA 16 0.186440677966102 0.813559322033898
PCA LDA 16 0.101694915254237 0.898305084745763
MDS LDA 16 0.127118644067797 0.872881355932203
ZIFA LDA 16 0.127118644067797 0.872881355932203
VAMF LDA 16 0.372881355932203 0.627118644067797
ZINB-WAVE LDA 16 0.0932203389830508 0.906779661016949
fSCLVM LDA 16 0.076271186440678 0.923728813559322
tSNE_plx_20 QDA 16 0.211864406779661 0.788135593220339
tSNE_plx_5 QDA 16 0.186440677966102 0.813559322033898
PCA QDA 16 0.101694915254237 0.898305084745763
MDS QDA 16 0.11864406779661 0.88135593220339
ZIFA QDA 16 0.11864406779661 0.88135593220339
VAMF QDA 16 0.347457627118644 0.652542372881356
ZINB-WAVE QDA 16 0.110169491525424 0.889830508474576
fSCLVM QDA 16 0.0932203389830508 0.906779661016949
tSNE_plx_20 LDA 17 0.279661016949153 0.720338983050847
tSNE_plx_5 LDA 17 0.38135593220339 0.61864406779661
PCA LDA 17 0.135593220338983 0.864406779661017
MDS LDA 17 0.076271186440678 0.923728813559322
ZIFA LDA 17 0.0677966101694916 0.932203389830508
VAMF LDA 17 0.347457627118644 0.652542372881356
ZINB-WAVE LDA 17 0.322033898305085 0.677966101694915
fSCLVM LDA 17 0.415254237288136 0.584745762711864
tSNE_plx_20 QDA 17 0.305084745762712 0.694915254237288
tSNE_plx_5 QDA 17 0.35593220338983 0.64406779661017
PCA QDA 17 0.127118644067796 0.872881355932204
MDS QDA 17 0.110169491525424 0.889830508474576
ZIFA QDA 17 0.0508474576271187 0.949152542372881
VAMF QDA 17 0.296610169491525 0.703389830508475
ZINB-WAVE QDA 17 0.322033898305085 0.677966101694915
fSCLVM QDA 17 0.432203389830508 0.567796610169492
