"method" "batch" "dim1" "dim2"
"tSNE_plx_20" "GLPB22-B5C" 0.119557471908957 1.3244158534846
"tSNE_plx_20" "GLPB22-B5C" -2.56396364641403 2.54722517083578
"tSNE_plx_20" "GLPB22-B5C" 3.69754989947911 0.0193893331365063
"tSNE_plx_20" "GLPB22-B5C" 0.354488031829768 -3.4790694128943
"tSNE_plx_20" "GLPB22-B5C" 2.0359477040785 1.69876355775064
"tSNE_plx_20" "GLPB22-B5C" -0.240685211239925 1.0954889648772
"tSNE_plx_20" "GLPB22-B5C" 1.06009154523844 1.05245246588853
"tSNE_plx_20" "GLPB22-B5C" -0.25339213158408 1.03870305170952
"tSNE_plx_20" "GLPB22-B5C" -0.263113100542379 -4.25835678291233
"tSNE_plx_20" "GLPB22-B5C" -0.658029304297003 1.96841851096216
"tSNE_plx_20" "GLPB22-B5C" -2.16045574597357 0.911065039219462
"tSNE_plx_20" "GLPB22-B5C" -0.700475703247581 0.995863472101942
"tSNE_plx_20" "GLPB22-B5C" 0.119766287956727 1.58070068379066
"tSNE_plx_20" "GLPB22-B5C" 0.373789140428864 0.874740704092362
"tSNE_plx_20" "GLPB22-B5C" 2.54608014645713 0.509713067764838
"tSNE_plx_20" "GLPB22-B5C" -1.64249069877213 0.117668213508938
"tSNE_plx_20" "GLPB22-B5C" -1.12948919514487 0.666260810434148
"tSNE_plx_20" "GLPB22-B5C" 1.58026330530899 0.922698535848677
"tSNE_plx_20" "HISEQ" 0.243585004919403 -1.17901387912631
"tSNE_plx_20" "HISEQ" -0.165318322164615 -0.79705889768869
"tSNE_plx_20" "HISEQ" -2.93480806083107 -0.0234905954953969
"tSNE_plx_20" "HISEQ" -3.31253747464358 2.01864256424636
"tSNE_plx_20" "HISEQ" -0.0841451644343165 -1.83161708799236
"tSNE_plx_20" "HISEQ" 1.07733007524748 -3.11973025461971
"tSNE_plx_20" "HISEQ" 2.68785214623877 -1.55829871283374
"tSNE_plx_20" "HISEQ" -1.05035895122869 -1.10894086583951
"tSNE_plx_20" "HISEQ" -2.02780464200954 -0.4716361552404
"tSNE_plx_20" "HISEQ" -2.23048637843282 -2.10171170981584
"tSNE_plx_20" "HISEQ" 0.059846908018608 -1.49558575935894
"tSNE_plx_20" "HISEQ" -0.632609742602444 -1.06280970271825
"tSNE_plx_20" "HISEQ" 1.69479884956623 -0.430102553693683
"tSNE_plx_20" "HISEQ" -1.10784125716006 -2.86191999847003
"tSNE_plx_20" "HISEQ" 0.855786652152046 -1.06837318387454
"tSNE_plx_20" "HISEQ" 0.0999086942510787 -0.858450594393561
"tSNE_plx_20" "HISEQ" -0.531979684245655 0.777680095518972
"tSNE_plx_20" "HISEQ" 3.23454514261218 -3.23785437830293
"tSNE_plx_20" "HISEQ" -0.628496153595255 0.240002230877991
"tSNE_plx_20" "HISEQ" 0.0782933076379877 2.07360266682195
"tSNE_plx_20" "HISEQ" 1.07607151922842 -1.34565993848444
"tSNE_plx_20" "HISEQ" -0.158989517426911 -3.54176318041448
"tSNE_plx_20" "HISEQ" 1.79145970679485 -2.9022471693471
