"method" "Instrument" "Detection_Rate" "Tumor" "dim1" "dim2"
"tSNE_plx_20" "HISEQ" 0.50131926121372 "MGH28" -6.07856370360203 -8.98235168100039
"tSNE_plx_20" "HISEQ" 0.66754617414248 "MGH28" -11.5717651293429 -7.94726262089179
"tSNE_plx_20" "HISEQ" 0.658751099384345 "MGH28" -12.0502268230376 -0.51512992768872
"tSNE_plx_20" "HISEQ" 0.56235708003518 "MGH28" -12.1315412634125 -10.6071390970161
"tSNE_plx_20" "HISEQ" 0.530694810905893 "MGH28" -12.9024238420798 -3.82374771962543
"tSNE_plx_20" "HISEQ" 0.766754617414248 "MGH28" -7.2096770106837 -3.0338574981097
"tSNE_plx_20" "HISEQ" 0.677572559366755 "MGH28" -8.66656304204662 -7.12721238990722
"tSNE_plx_20" "HISEQ" 0.602110817941953 "MGH28" -11.8063203622678 -5.56351960568909
"tSNE_plx_20" "HISEQ" 0.627088830255057 "MGH28" -12.1401523732913 -6.65839945767771
"tSNE_plx_20" "HISEQ" 0.6 "MGH28" -5.66343862211299 -9.08873352975788
"tSNE_plx_20" "HISEQ" 0.710993843447669 "MGH28" -9.70039402863671 -6.02714099817554
"tSNE_plx_20" "HISEQ" 0.651187335092348 "MGH28" -10.5020328203063 -8.20551637797335
"tSNE_plx_20" "HISEQ" 0.394547053649956 "MGH28" -6.52516745244576 -12.1564757973395
"tSNE_plx_20" "HISEQ" 0.668777484608619 "MGH28" -7.39907573735838 -6.35287182642839
"tSNE_plx_20" "HISEQ" 0.538786279683377 "MGH28" -5.06583721911567 -13.9878291530131
"tSNE_plx_20" "HISEQ" 0.647493403693931 "MGH28" -7.86963536080102 -5.05017174552196
"tSNE_plx_20" "HISEQ" 0.378540017590149 "MGH28" -2.82675701393364 -10.4037146733272
"tSNE_plx_20" "HISEQ" 0.641688654353562 "MGH28" -11.4171487462883 -9.5554999281339
"tSNE_plx_20" "HISEQ" 0.630255057167986 "MGH28" -12.0681609332803 -8.32239140703931
"tSNE_plx_20" "HISEQ" 0.659806508355321 "MGH28" -10.7397465878824 -0.884060816528943
"tSNE_plx_20" "HISEQ" 0.697097625329815 "MGH28" -2.72186809286051 -2.10110575344493
"tSNE_plx_20" "HISEQ" 0.528056288478452 "MGH28" -3.34596880620184 -10.0429481414916
"tSNE_plx_20" "HISEQ" 0.728408091468777 "MGH28" -8.84444893636398 -4.94331733362424
"tSNE_plx_20" "HISEQ" 0.603342128408091 "MGH28" -10.6061916281578 -4.79802111347598
