b0 b1 det_rate sample
-1.84781339138777 0.545172235775821 0.575766778013969 0h
-1.64067714021182 0.546553760231391 0.618787326652495 0h
-1.77881063314897 0.525676414774904 0.574653304990384 0h
-2.16167294607822 0.566836308664576 0.528393562101427 0h
-2.217661404149 0.442932409858495 0.410466646421703 0h
-2.17154805113817 0.539833749010854 0.504200830043527 0h
-2.22816082955772 0.553919050772387 0.504099605223201 0h
-1.68262815819886 0.538622263618408 0.604413402166211 0h
-2.0418243572416 0.616191839155083 0.590748051422209 0h
-5.11803073703661 0.816091450990832 0.213078246786112 0h
-2.3823196350869 0.570108435108946 0.485676687923879 0h
-2.44714812334459 0.542981013525912 0.449640651887843 0h
-1.61383733359019 0.578500756903019 0.646927826703108 0h
-2.3320886911559 0.568401084279826 0.494584472112562 0h
-1.7619918460674 0.577521360196443 0.617471403988258 0h
-1.98122552427745 0.523814199823803 0.53082295778925 0h
-2.22745930417457 0.535888043594897 0.489219556635287 0h
-1.62848548978845 0.583714845945993 0.647737625265715 0h
-1.89072390345579 0.576791181562026 0.591355400344164 0h
-2.13584113564087 0.542685639317501 0.514019637615143 0h
-2.73575001552495 0.618501667291668 0.454094543982184 0h
-1.7621307249278 0.49209340173905 0.550966697034113 0h
-1.62077412210881 0.589551871854094 0.653203765563316 0h
-2.08058974725729 0.576851486513682 0.552991193440632 0h
-2.27708351803504 0.55674714554144 0.496305294058103 0h
-2.06681603726352 0.562817959025079 0.544690758173904 0h
-1.88447669401382 0.558316731941341 0.57849984816277 0h
-2.11116464426228 0.556952846269912 0.53082295778925 0h
-1.7479528614583 0.498284533876574 0.559064682660188 0h
-5.76045932648491 0.526190289980339 0.0430205486385262 0h
-2.07551094956935 0.560880567334636 0.541350339103148 0h
-2.2299600398013 0.565961937296626 0.513614738333839 0h
-1.91972416036854 0.558711574142967 0.571616560380605 0h
-1.75668487920337 0.611614986478328 0.642575159429092 0h
-2.19715463315918 0.566111434123939 0.520498026116004 0h
-2.24916531961527 0.551723109023697 0.497924891183318 0h
-2.21898274624218 0.592528835542494 0.537200121469784 0h
-2.34691710310638 0.574940167988103 0.496912642980059 0h
-5.98568752278295 0.563311814078713 0.0429193238182002 0h
-2.68395958351043 0.614825697696843 0.461382731045652 0h
-2.0457928711601 0.494186210628681 0.494147421701993 24h
-1.53137164816507 0.489992451041902 0.60012654223347 24h
-1.7399351070023 0.463877584926414 0.534008225245176 24h
-2.27871494822916 0.491495082299342 0.442159654117895 24h
-1.93507820256244 0.492812674312044 0.516714120004218 24h
-1.863219791299 0.559638281434363 0.586417800274175 24h
-2.46371304225401 0.571409155569314 0.472318886428345 24h
-1.99907004772724 0.504636716913585 0.513128756722556 24h
-2.05450955955761 0.493300431806205 0.491511125171359 24h
-2.4597406488634 0.545298136610316 0.451017610460825 24h
-1.3608032386438 0.482032878985426 0.629125804070442 24h
-1.67880146537028 0.431468213618628 0.519139512812401 24h
-1.88825716600246 0.480965561353556 0.516608668142993 24h
-2.34761252791699 0.579617404775284 0.503005378044923 24h
-2.14357932482335 0.48772782325979 0.467573552673205 24h
-2.07117638094557 0.531709178147398 0.520721290730781 24h
-1.61677483036502 0.429443693582473 0.531055573130866 24h
-2.40812558406934 0.531243846533035 0.449646736264895 24h
-2.52472897926757 0.503908980343541 0.401877043129811 24h
-2.2520119412467 0.467591021477313 0.426658230517769 24h
-1.81585146855219 0.40969538612884 0.469155330591585 24h
-1.42611824686008 0.380292019678936 0.529895602657387 24h
-1.92509634684398 0.484796948675846 0.511968786249077 24h
-2.65316890087187 0.509405756909587 0.380681219023516 24h
-1.72858127366393 0.49476170024457 0.56248022777602 24h
-2.04148860709228 0.499098177921011 0.499314562902035 24h
-1.27650610173635 0.437014697667426 0.611304439523358 24h
-1.90037526550603 0.458961782361566 0.494780132869345 24h
-1.32123714205976 0.410065115541507 0.579352525572076 24h
-1.95424095850411 0.471672876200347 0.494252873563218 24h
-1.86905872836328 0.468505716678235 0.509965200885796 24h
-1.61410928400324 0.479451124627382 0.574185384372034 24h
-2.0166804160225 0.496730344794234 0.502583570600021 24h
-1.6403331422794 0.452902451715992 0.546240641147316 24h
-1.80158860135757 0.441194658760844 0.500685437097965 24h
-1.52988448030488 0.429501153714422 0.55024781187388 24h
-1.71493197208235 0.449295703951058 0.526837498681852 24h
-1.58485591423712 0.427419992357747 0.536328166192133 24h
-1.57244279012293 0.456178173343174 0.563745650110724 24h
-2.07010179054229 0.460693211354893 0.459453759358853 24h
-1.79191122920195 0.443671279625353 0.505008963408204 24h
